Datetime,ID,Text,Target
2020-10-05 16:56:57,1313161265234227200,You cannot have peace in a region where a country has such unhealthy territorial ambitions as #Armenia. Take a look… https://t.co/f0x985rNbB,1
2020-10-05 16:56:57,1313161264726790146,RT @Aziza78847941: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in…,1
2020-10-05 16:56:56,1313161261715259392,"RT @LukeDCoffey: 🚨Azerbaijani cities of Ganja &amp; Mingachevir under attack *again* by Armenia. Both cities are far from the frontlines. 

✔️G…",0
2020-10-05 16:56:56,1313161261392240640,"RT @vekilzadevusale: ❗️Ganja city of Azerbaijan (500,000 residents), 60 km from the frontline with Armenia is being under missile attack fr…",0
2020-10-05 16:56:56,1313161259538436107,"RT @ishaantharoor: .@ElinSuleymanov, Azerbaijan's US ambassador, rejected reports of foreign fighters joining his country's battles against…",1
2020-10-05 16:56:56,1313161259123191815,"2 schoolchildren,as  members of one destroyed family,were killed  by Armenian forces' attack to our shell village o… https://t.co/9ZvOxoMiwD",1
2020-10-05 16:56:55,1313161255763542019,"RT @AzerbaijanMFA: Elshan Ibrahimov (26) and Ayan Ibrahimov (5), both heavily injured after one of the 3 missiles launched by occupying for…",1
2020-10-05 16:56:55,1313161254517780481,"RT @ArmenianUnified: Since the very first day of the aggression unleashed by #Azerbaijan, the Azerbaijani Armed Forces have been targeting…",1
2020-10-05 16:56:55,1313161254333276160,"RT @Jan_Pawlicki: Dobrze wiedzieć, że współczesna Armenia, to w rzeczywistości jej wschodnia część, a historyczne ziemie Ormian leżą w Turc…",0
2020-10-05 16:56:54,1313161253741834242,"RT @HikmetHajiyev: NOW: Armenian armed forces are attacking densely populated civilian areas in Ganja, Barda, Beylagan and some other citie…",1
2020-10-05 16:56:54,1313161252789723140,"@ghulijoghlian @tadevosian_mane @VRSoloviev 1) Azerbaijan has always spread the right news!2) If there is a liar, i… https://t.co/UolqK0w6uS",1
2020-10-05 16:56:53,1313161247983050752,"I completely forgot that there is incredibly bad blood between the Turks and Armenians.

If Armenia finds itself oc… https://t.co/bvjIi1LhQn",1
2020-10-05 16:56:53,1313161246070505472,"RT @TRTWorldNow: International community stayed silent during occupation of Karabakh, massacres by Armenia – Turkish President Erdogan http…",1
2020-10-05 16:56:52,1313161245206499334,RT @Aliyevlover: Artsakh is Armenia.,1
2020-10-05 16:56:52,1313161243478446082,"RT @geertwilderspvv: Stop the islamic aggression from #Azerbaijan thugs supported by Turkish dictator #Erdogan, and support our Christian #…",1
2020-10-05 16:56:51,1313161239925796866,"RT @ayten836312: Hikmet Hajiyev, spokesman for the Azerbaijani Presidency, twitted: “Indiscriminate Missile attacks are launched against Ga…",1
2020-10-05 16:56:51,1313161237522456583,"RT @ManeAdamian: ❗️🇦🇲🇪🇺
48 Members of the European Parliament sent a letter to @JosepBorrellF condemning #Azerbaijan's aggression against #…",0
2020-10-05 16:56:50,1313161233797910528,"RT @HikmetHajiyev: Intensive missile/rocket attacks by Armenia against Ganja, Mingachevir, Barda,Tartar and other major cities of Azerbaija…",0
2020-10-05 16:56:49,1313161232778575878,RT @5AM_K: الجالية الأرمينية في #إسبانيا تناشد حكومة مدريد بالتدخل الفوري والعاجل لردع #تركيا والحيلولة دون وقوع مجزرة أخرى لـ #الأرمن بحسب…,0
2020-10-05 16:56:49,1313161231453175808,RT @Magooa_: Evidence of Armenia's attack on Azerbaijan's critical civilian infrastructure. The rocket landed near the power block in Minga…,0
2020-10-05 16:56:49,1313161230094229506,"RT @erikhalvorsen18: @JoyceWhiteVance * trump urged Neo Nazis to “stand by”

* trump’s own Nat Sec advisers warn he is a threat 

* Pompeo…",0
